time,all,working,chick,back,
Oct-17,14.02,11.6,8873,2.42,
Sep-17,13.83,11.65,8114,2.18,
Aug-17,13.59,11.34,7799,2.25,
Jul-17,12.82,10.9,4701,1.92,
Jun-17,12.56,10.53,5417,2.03,
May-17,12.81,10.68,5492,2.13,
Apr-17,13.41,11.35,5975,2.06,
Mar-17,13.23,11.23,5449,2,
Feb-17,13.3,11.27,5708,2.02,
Jan-17,13.64,11.55,5983,2.09,
Dec-16,14.29,12.15,6555,2.14,
Nov-16,14.76,12.71,6652,2.04,
Oct-16,14.65,12.54,6040,2.11,
Sep-16,14.56,12.27,6170,2.28,
Aug-16,14.94,12.46,6712,2.48,
Jul-16,15.32,12.5,8329,2.82,
Jun-16,15.26,12.59,8226,2.67,
May-16,15.19,12.49,7840,2.7,
Apr-16,15.12,12.59,8444,2.53,
Mar-16,14.92,12.19,8430,2.72,
Feb-16,14.58,12.06,7551,2.52,
Jan-16,14.49,11.98,8121,2.51,
