year,14_max,14_min,15_max,15_min,16_max,16_min,17_max,17_min,18_max,18_min,19_max,19_min,20_max,20_min,21_max,21_min,max,min
01_02,,,388,-54,590,-133,434,-69,1090,-38,729,191,729,-8,,,1090,-133
01_03,,,721,130,587,-48,447,-82,1278,25,863,214,852,-66,,,1278,-82
01_04,,,729,220,582,63,416,-186,1203,-47,896,227,854,-160,,,1203,-186
01_05,,,622,107,584,-44,309,-437,1103,-84,881,215,795,-516,,,1103,-516
01_06,,,645,71,566,-13,335,-189,1201,210,884,211,932,-351,,,1201,-351
01_07,,,,,,,259,-240,1128,285,770,122,890,-419,,,1128,-419
01_08,,,,,,,34,-831,785,86,180,-257,436,-879,,,785,-879
01_09,,,350,-169,89,-297,-245,-1062,641,-101,375,-131,417,-1017,,,641,-1062
01_10,,,491,-22,494,99,118,-656,1035,427,734,403,706,-704,,,1035,-704
01_11,,,641,187,503,118,-151,-601,1123,603,727,542,540,-654,,,1123,-654
01_12,,,474,256,53,53,-10000,10000,1078,916,598,563,-648,-705,,,1078,-705
02_03,,,517,25,270,-215,109,-239,442,-60,201,-17,192,-291,,,517,-291
02_04,,,490,-47,288,-272,94,-553,534,-64,205,-25,320,-465,,,534,-553
02_05,,,582,59,231,-364,75,-772,511,-118,176,-108,330,-730,,,582,-772
02_06,,,540,-87,287,-314,62,-809,552,52,194,-124,463,-794,,,552,-809
02_07,,,,,,,-11,-1030,545,0,97,-271,475,-1069,,,545,-1069
02_08,,,,,,,-287,-1225,245,-400,-466,-895,104,-1558,,,245,-1558
02_09,,,80,-231,-82,-720,-517,-1562,71,-569,-285,-690,104,-1637,,,104,-1637
02_10,,,382,-80,244,-432,-269,-1203,534,-158,117,-350,405,-1404,,,534,-1404
02_11,,,511,141,245,-250,-419,-1081,583,-85,89,-324,175,-1393,,,583,-1393
02_12,,,529,56,227,-200,-673,-1110,475,-113,-87,-489,-589,-1534,,,529,-1534
03_02,,,-25,-517,215,-270,239,-109,60,-442,17,-201,291,-192,,,291,-517
03_04,72,-264,149,-176,191,-451,114,-368,141,-202,52,-118,135,-398,,,191,-451
03_05,47,-436,279,-231,160,-658,65,-878,129,-266,41,-320,170,-804,,,279,-878
03_06,-56,-555,103,-446,152,-652,66,-914,217,-120,54,-283,368,-974,,,368,-974
03_07,,,,,,,-46,-1110,198,-152,-40,-472,382,-1268,,,382,-1268
03_08,,,,,,,-324,-1489,-154,-498,-610,-1161,8,-1768,,,8,-1768
03_09,-291,-1090,-250,-530,-184,-1076,-608,-1851,-318,-666,-429,-985,12,-1793,,,12,-1851
03_10,-240,-990,-58,-352,102,-783,-272,-1470,145,-255,-32,-591,395,-1567,,,395,-1567
03_11,-252,-1000,102,-247,84,-663,-400,-1429,212,-182,-55,-602,186,-1568,,,212,-1568
03_12,-321,-950,96,-247,72,-566,-618,-1290,196,-210,-213,-832,-582,-1703,,,196,-1703
04_02,,,47,-490,272,-288,553,-94,64,-534,25,-205,465,-320,,,553,-534
04_03,264,-72,176,-149,451,-191,368,-114,202,-141,118,-52,398,-135,,,451,-191
04_05,15,-349,176,-395,122,-388,113,-677,409,-219,49,-306,66,-511,,,409,-677
04_06,-40,-370,103,-563,85,-382,132,-738,371,-169,122,-235,256,-682,,,371,-738
04_07,,,,,,,-101,-917,283,-207,-11,-416,270,-1002,,,283,-1002
04_08,,,,,,,-286,-1296,-51,-483,-602,-1166,-104,-1498,,,-51,-1498
04_09,-280,-906,-197,-935,-215,-938,-549,-1664,-187,-672,-425,-987,-100,-1526,,,-100,-1664
04_10,-185,-863,-56,-839,12,-633,-221,-1246,162,-241,-14,-534,283,-1300,,,283,-1300
04_11,-221,-874,105,-399,-16,-528,-176,-1253,201,-209,-54,-573,200,-1301,,,201,-1301
04_12,-349,-855,82,-838,-18,-548,-414,-1302,104,-304,-185,-769,-488,-1436,,,104,-1436
05_02,,,-59,-582,364,-231,772,-75,118,-511,108,-176,730,-330,,,772,-582
05_03,436,-47,231,-279,658,-160,878,-65,266,-129,320,-41,804,-170,,,878,-279
05_04,349,-15,395,-176,388,-122,677,-113,219,-409,306,-49,511,-66,,,677,-409
05_06,46,-401,129,-443,176,-295,80,-412,225,-85,210,-78,267,-205,,,267,-443
05_07,,,,,,,-4,-740,230,-126,130,-172,246,-543,,,246,-740
05_08,,,,,,,-162,-1359,-68,-473,-496,-916,-143,-1050,,,-68,-1359
05_09,161,-696,-169,-1061,-257,-958,-498,-1675,-120,-640,-368,-718,-124,-1078,,,161,-1675
05_10,205,-686,-18,-923,55,-555,-39,-1430,286,-253,95,-328,259,-852,,,286,-1430
05_11,324,-709,169,-578,53,-505,-35,-1423,321,-215,99,-331,274,-853,,,324,-1423
05_12,504,-647,67,-795,36,-452,-133,-1440,216,-318,-139,-569,-154,-988,,,504,-1440
06_02,,,87,-540,314,-287,809,-62,-52,-552,124,-194,794,-463,,,809,-552
06_03,555,56,446,-103,652,-152,914,-66,120,-217,283,-54,974,-368,,,974,-368
06_04,370,40,563,-103,382,-85,738,-132,169,-371,235,-122,682,-256,,,738,-371
06_05,401,-46,443,-129,295,-176,412,-80,85,-225,78,-210,205,-267,,,443,-267
06_07,,,,,,,25,-369,58,-148,33,-248,38,-359,,,58,-369
06_08,,,,,,,-181,-1002,-163,-534,-528,-1213,-321,-898,,,-163,-1213
06_09,224,-575,-40,-1281,-190,-995,-410,-1409,-324,-694,-418,-907,-314,-971,,,224,-1409
06_10,383,-526,-65,-1080,20,-581,-79,-1368,129,-264,55,-384,58,-662,,,383,-1368
06_11,551,-510,136,-1091,24,-565,-71,-1386,195,-182,61,-420,131,-663,,,551,-1386
06_12,627,-491,118,-1124,224,-541,-142,-1520,91,-285,-132,-642,-307,-798,,,627,-1520
07_02,,,,,,,1030,11,0,-545,271,-97,1069,-475,,,1069,-545
07_03,,,,,,,1110,46,152,-198,472,40,1268,-382,,,1268,-382
07_04,,,,,,,917,101,207,-283,416,11,1002,-270,,,1002,-283
07_05,,,,,,,740,4,126,-230,172,-130,543,-246,,,740,-246
07_06,,,,,,,369,-25,148,-58,248,-33,359,-38,,,369,-58
07_08,,,,,,,-112,-692,-138,-629,-375,-996,-341,-776,,,-112,-996
07_09,,,,,,,-305,-1124,-328,-775,-306,-687,-336,-737,,,-305,-1124
07_10,,,,,,,4,-1047,124,-332,103,-206,53,-495,,,124,-1047
07_11,,,,,,,51,-1035,190,-238,76,-212,123,-409,,,190,-1035
07_12,,,,,,,63,-1186,87,-328,-71,-470,-200,-559,,,87,-1186
08_02,,,,,,,1225,287,400,-245,895,466,1558,-104,,,1558,-245
08_03,,,,,,,1489,324,498,154,1161,610,1768,-8,,,1768,-8
08_04,,,,,,,1296,286,483,51,1166,602,1498,104,,,1498,51
08_05,,,,,,,1359,162,473,68,916,496,1050,143,,,1359,68
08_06,,,,,,,1002,181,534,163,1213,528,898,321,,,1213,163
08_07,,,,,,,692,112,629,138,996,375,776,341,,,996,112
08_09,,,,,,,-90,-669,409,-256,583,-75,85,-191,,,583,-669
08_10,,,,,,,264,-587,985,189,1057,279,575,-33,,,1057,-587
08_11,,,,,,,310,-575,998,252,1060,303,621,160,,,1060,-575
08_12,,,,,,,150,-726,870,120,847,41,271,24,,,870,-726
09_02,,,231,-80,720,82,1562,517,569,-71,690,285,1637,-104,,,1637,-104
09_03,1090,291,530,250,1076,184,1851,608,666,318,985,429,1793,-12,,,1851,-12
09_04,906,280,935,197,938,215,1664,549,672,187,987,425,1526,100,,,1664,100
09_05,696,-161,1061,169,958,257,1675,498,640,120,718,368,1078,124,,,1675,-161
09_06,575,-224,1281,40,995,190,1409,410,694,324,907,418,971,314,,,1409,-224
09_07,,,,,,,1124,305,775,328,687,306,737,336,,,1124,305
09_08,,,,,,,669,90,256,-409,75,-583,191,-85,,,669,-583
09_10,428,-106,367,20,691,230,550,-139,642,346,632,-27,517,130,,,691,-139
09_11,646,-15,455,-26,803,247,541,-61,714,388,643,-47,583,225,,,803,-61
09_12,739,-12,508,-63,850,155,595,-173,608,247,442,-371,340,90,,,850,-371
10_02,,,80,-382,432,-244,1203,269,158,-534,350,-117,1404,-405,,,1404,-534
10_03,990,240,352,58,783,-102,1470,272,255,-145,591,32,1567,-395,,,1567,-395
10_04,863,185,839,56,633,-12,1246,221,241,-162,534,14,1300,-283,,,1300,-283
10_05,686,-205,923,18,555,-55,1430,39,253,-286,328,-95,852,-259,,,1430,-286
10_06,526,-383,1080,65,581,-20,1368,79,264,-129,384,-55,662,-58,,,1368,-383
10_07,,,,,,,1047,-4,332,-124,206,-103,495,-53,,,1047,-124
10_08,,,,,,,587,-264,-189,-985,-279,-1057,33,-575,,,587,-1057
10_09,106,-428,-20,-367,-230,-691,139,-550,-346,-642,27,-632,-130,-517,,,139,-691
10_11,502,-47,242,-158,214,-127,191,-150,128,-4,95,-152,215,-60,,,502,-158
10_12,350,-16,363,-363,391,-282,236,-426,94,-218,-5,-423,139,-206,,,391,-426
11_02,,,-141,-511,250,-245,1081,419,85,-583,324,-89,1393,-175,,,1393,-583
11_03,1000,252,247,-102,663,-84,1429,400,182,-212,602,55,1568,-186,,,1568,-212
11_04,874,221,399,-105,528,16,1253,176,209,-201,573,54,1301,-200,,,1301,-201
11_05,709,-324,578,-169,505,-53,1423,35,215,-321,331,-99,853,-274,,,1423,-324
11_06,510,-551,1091,-136,565,-24,1386,71,182,-195,420,-61,663,-131,,,1386,-551
11_07,,,,,,,1035,-51,238,-190,212,-76,409,-123,,,1035,-190
11_08,,,,,,,575,-310,-252,-998,-303,-1060,-160,-621,,,575,-1060
11_09,15,-646,26,-455,-247,-803,61,-541,-388,-714,47,-643,-225,-583,,,61,-803
11_10,47,-502,158,-242,127,-214,150,-191,4,-128,152,-95,60,-215,,,158,-502
11_12,214,-86,175,-315,379,-233,428,-292,5,-283,77,-365,-34,-154,,,428,-365
12_02,,,-56,-529,200,-227,1110,673,113,-475,489,87,1534,589,,,1534,-529
12_03,950,321,247,-96,566,-72,1290,618,210,-196,832,213,1703,582,,,1703,-196
12_04,855,349,838,-82,548,18,1302,414,304,-104,769,185,1436,488,,,1436,-104
12_05,647,-504,795,-67,452,-36,1440,133,318,-216,569,139,988,154,,,1440,-504
12_06,491,-627,1124,-118,541,-224,1520,142,285,-91,642,132,798,307,,,1520,-627
12_07,,,,,,,1186,-63,328,-87,470,71,559,200,,,1186,-87
12_08,,,,,,,726,-150,-120,-870,-41,-847,-24,-271,,,726,-870
12_09,12,-739,63,-508,-155,-850,173,-595,-247,-608,371,-442,-90,-340,,,371,-850
12_10,16,-350,363,-363,282,-391,426,-236,218,-94,423,5,206,-139,,,426,-391
12_11,86,-214,315,-175,233,-379,292,-428,283,-5,365,-77,154,34,,,365,-428
